group,names,scores,logfoldchanges,pvals,pvals_adj
10,HLA-DPA1,9.317711,47.40221,1.1887706146257545e-20,9.729493095404488e-17
10,CD74,9.228564,122.141136,2.74283205973588e-20,1.7958967194326648e-16
10,CST3,9.196376,64.88278,3.702263717707348e-20,1.9687030374844526e-16
10,HLA-DRB1,9.182565,44.980534,4.209457285842497e-20,1.9687030374844526e-16
10,LSP1,8.843784,6.338247,9.253034924303816e-19,3.7865732168982294e-15
10,TMSB10,8.785228,42.138428,1.560476231786744e-18,4.716734128924285e-15
10,LYZ,8.781462,90.24573,1.6136427571418975e-18,4.716734128924285e-15
10,HLA-DRB5,8.774156,19.508589,1.7219029829599338e-18,4.716734128924285e-15
10,HLA-DQB1,8.7737,16.46735,1.728902484791112e-18,4.716734128924285e-15
10,HLA-DMA,8.638325,7.484203,5.7043462722678954e-18,1.436529909703895e-14
10,VIM,8.549976,22.38916,1.2311335117643808e-17,2.8789177791530214e-14
10,FCER1A,8.486741,17.472742,2.125130773481644e-17,4.6381687508161374e-14
10,GAPDH,8.475669,14.236869,2.337328621650426e-17,4.782466525974478e-14
10,LGALS1,8.466765,17.585194,2.5230124842562587e-17,4.858728394681259e-14
10,GSTP1,8.426358,10.20914,3.5658866992853407e-17,6.485555486733527e-14
10,SLC25A6,8.317579,10.27154,8.97782747291495e-17,1.5435128696759871e-13
10,RPS2,8.311758,50.382614,9.42948787143984e-17,1.5435128696759871e-13
10,GABARAP,8.214393,6.059669,2.1324093937009528e-16,3.316366421789804e-13
10,GNB2L1,8.207315,14.474998,2.2618845074301696e-16,3.316366421789804e-13
10,ANXA2,8.198754,7.43486,2.428898129132579e-16,3.316366421789804e-13
10,RPS11,8.198641,16.01367,2.4312051476252457e-16,3.316366421789804e-13
10,ARPC1B,8.171132,8.968766,3.0550946690320257e-16,4.000707570990819e-13
11,PPBP,6.6879582,60.452995,2.2630532718235262e-11,5.533659979705574e-07
11,NRGN,6.628961,10.674024,3.3805730219961963e-11,5.533659979705574e-07
11,GPX1,6.541878,21.957108,6.075104418245184e-11,6.629558948150362e-07
11,PF4,6.237585,30.835396,4.4437679464566303e-10,2.17073313108073e-06
11,SDPR,6.234594,20.30855,4.529515821289746e-10,2.17073313108073e-06
11,GNG11,6.2334304,19.996317,4.5632965401157095e-10,2.17073313108073e-06
11,SPARC,6.2307715,11.338908,4.64143561535986e-10,2.17073313108073e-06
11,HIST1H2AC,6.1772585,19.509594,6.522420697095679e-10,2.6691376097689792e-06
11,RGS18,6.1237454,8.579848,9.140079587450732e-10,3.3247547281551337e-06
11,TPM4,6.0645823,7.8894205,1.3229712132941348e-09,4.331143158082338e-06
11,RGS10,5.944926,8.42271,2.7658204643799944e-09,6.4676735973480185e-06
11,TAGLN2,5.873298,8.325058,4.272089322031858e-09,9.32397734831193e-06
11,CALM3,5.8452125,5.509219,5.059228539769976e-09,1.0351813995936842e-05
11,GP9,5.7945247,15.449936,6.8515035383516125e-09,1.1215226141927753e-05
11,CLU,5.777573,15.073254,7.578577565367588e-09,1.1299905381121972e-05
11,ILK,5.4207644,5.752801,5.9344665106910515e-08,5.314717966239856e-05
11,AP001189.4,5.345647,11.153794,9.00946428334357e-08,6.614897803322506e-05
11,ITGA2B,5.343985,11.63013,9.092504158760853e-08,6.614897803322506e-05
11,CD9,5.314736,11.218324,1.0681219758506643e-07,7.285036926124801e-05
11,CDKN2D,5.286982,5.0854254,1.2435076396031287e-07,8.141990621065446e-05
11,FERMT3,5.2341337,6.1902986,1.6576022473035428e-07,0.00010539649308784286
11,RUFY1,5.198071,8.847489,2.0136738474824524e-07,0.00011986118985251005
11,CCL5,5.1433945,9.540155,2.6981813312754317e-07,0.00015773760789874122
11,NGFRAP1,5.011606,10.433043,5.397752817542518e-07,0.0002761119245948546
11,CTSA,4.942804,5.7303705,7.700689760015423e-07,0.00036015025909054985
